date,city,casos,tipo,diario
Abr 11,Petropolis,27,real,1
Abr 11,Rio de Janeiro,1905,real,97
Abr 11,Sao Goncalo,64,real,29
Abr 11,Volta Redonda,71,real,0
Abr 10,Barra Mansa,11,real,3
Abr 10,Belford Roxo,28,real,0
Abr 10,Duque de Caxias,62,real,14
Abr 10,Estado RJ,2464,real,248
Abr 10,Niteroi,117,real,0
Abr 10,Petropolis,26,real,4
Abr 10,Rio de Janeiro,1808,real,175
Abr 10,Sao Goncalo,35,real,4
Abr 10,Volta Redonda,71,real,8
Abr 09,Barra Mansa,8,real,0
Abr 09,Belford Roxo,28,real,5
Abr 09,Duque de Caxias,48,real,10
Abr 09,Estado RJ,2216,real,278
Abr 09,Niteroi,117,real,11
Abr 09,Petropolis,22,real,0
Abr 09,Rio de Janeiro,1633,real,184
Abr 09,Sao Goncalo,31,real,5
Abr 09,Volta Redonda,63,real,5
Abr 08,Barra Mansa,8,real,0
Abr 08,Belford Roxo,23,real,4
Abr 08,Duque de Caxias,38,real,5
Abr 08,Estado RJ,1938,real,250
Abr 08,Niteroi,106,real,12
Abr 08,Petropolis,22,real,2
Abr 08,Rio de Janeiro,1449,real,198
Abr 08,Sao Goncalo,26,real,4
Abr 08,Volta Redonda,58,real,0
Abr 07,Barra Mansa,8,real,5
Abr 07,Belford Roxo,19,real,5
Abr 07,Duque de Caxias,33,real,12
Abr 07,Estado RJ,1688,real,227
Abr 07,Niteroi,94,real,2
Abr 07,Petropolis,20,real,4
Abr 07,Rio de Janeiro,1251,real,141
Abr 07,Sao Goncalo,22,real,9
Abr 07,Volta Redonda,58,real,3
Abr 06,Barra Mansa,3,real,0
Abr 06,Belford Roxo,14,real,-1
Abr 06,Duque de Caxias,21,real,1
Abr 06,Estado RJ,1461,real,67
Abr 06,Niteroi,92,real,5
Abr 06,Petropolis,16,real,3
Abr 06,Rio de Janeiro,1110,real,42
Abr 06,Sao Goncalo,13,real,0
Abr 06,Volta Redonda,55,real,10
Abr 05,Barra Mansa,3,real,0
Abr 05,Belford Roxo,15,real,8
Abr 05,Duque de Caxias,20,real,7
Abr 05,Estado RJ,1394,real,148
Abr 05,Niteroi,87,real,8
Abr 05,Petropolis,13,real,0
Abr 05,Rio de Janeiro,1068,real,86
Abr 05,Sao Goncalo,13,real,3
Abr 05,Volta Redonda,45,real,0
Abr 04,Barra Mansa,3,real,0
Abr 04,Belford Roxo,7,real,4
Abr 04,Duque de Caxias,13,real,4
Abr 04,Estado RJ,1246,real,172
Abr 04,Niteroi,79,real,14
Abr 04,Petropolis,13,real,0
Abr 04,Rio de Janeiro,982,real,115
Abr 04,Sao Goncalo,10,real,0
Abr 04,Volta Redonda,45,real,1
Abr 03,Barra Mansa,3,real,1
Abr 03,Belford Roxo,3,real,0
Abr 03,Duque de Caxias,9,real,0
Abr 03,Estado RJ,1074,real,82
Abr 03,Niteroi,65,real,2
Abr 03,Petropolis,13,real,0
Abr 03,Rio de Janeiro,867,real,69
Abr 03,Sao Goncalo,10,real,0
Abr 03,Volta Redonda,44,real,1
Abr 02,Barra Mansa,2,real,0
Abr 02,Belford Roxo,3,real,0
Abr 02,Duque de Caxias,9,real,3
Abr 02,Estado RJ,992,real,160
Abr 02,Niteroi,63,real,1
Abr 02,Petropolis,13,real,8
Abr 02,Rio de Janeiro,798,real,101
Abr 02,Sao Goncalo,10,real,-1
Abr 02,Volta Redonda,43,real,31
Abr 01,Barra Mansa,2,real,0
Abr 01,Belford Roxo,3,real,1
Abr 01,Duque de Caxias,6,real,1
Abr 01,Estado RJ,832,real,124
Abr 01,Niteroi,62,real,5
Abr 01,Petropolis,5,real,0
Abr 01,Rio de Janeiro,697,real,111
Abr 01,Sao Goncalo,11,real,2
Abr 01,Volta Redonda,12,real,0
Mar 31,Barra Mansa,2,real,1
Mar 31,Belford Roxo,2,real,0
Mar 31,Duque de Caxias,5,real,0
Mar 31,Estado RJ,708,real,51
Mar 31,Niteroi,57,real,10
Mar 31,Petropolis,5,real,1
Mar 31,Rio de Janeiro,586,real,33
Mar 31,Sao Goncalo,9,real,2
Mar 31,Volta Redonda,12,real,1
Mar 30,Barra Mansa,1,real,0
Mar 30,Belford Roxo,2,real,0
Mar 30,Duque de Caxias,5,real,0
Mar 30,Estado RJ,657,real,57
Mar 30,Niteroi,47,real,8
Mar 30,Petropolis,4,real,0
Mar 30,Rio de Janeiro,553,real,37
Mar 30,Sao Goncalo,7,real,1
Mar 30,Volta Redonda,11,real,0
Mar 29,Barra Mansa,1,real,0
Mar 29,Belford Roxo,2,real,1
Mar 29,Duque de Caxias,5,real,2
Mar 29,Estado RJ,600,real,42
Mar 29,Niteroi,39,real,2
Mar 29,Petropolis,4,real,1
Mar 29,Rio de Janeiro,516,real,27
Mar 29,Sao Goncalo,6,real,2
Mar 29,Volta Redonda,11,real,0
Mar 28,Barra Mansa,1,real,0
Mar 28,Belford Roxo,1,real,0
Mar 28,Duque de Caxias,3,real,0
Mar 28,Estado RJ,558,real,65
Mar 28,Niteroi,37,real,1
Mar 28,Petropolis,3,real,0
Mar 28,Rio de Janeiro,489,real,58
Mar 28,Sao Goncalo,4,real,0
Mar 28,Volta Redonda,11,real,2
Mar 27,Barra Mansa,1,real,0
Mar 27,Belford Roxo,1,real,0
Mar 27,Duque de Caxias,3,real,1
Mar 27,Estado RJ,493,real,72
Mar 27,Niteroi,36,real,5
Mar 27,Petropolis,3,real,0
Mar 27,Rio de Janeiro,431,real,63
Mar 27,Sao Goncalo,4,real,1
Mar 27,Volta Redonda,9,real,2
Mar 26,Barra Mansa,1,real,0
Mar 26,Belford Roxo,1,real,1
Mar 26,Duque de Caxias,2,real,0
Mar 26,Estado RJ,421,real,51
Mar 26,Niteroi,31,real,12
Mar 26,Petropolis,3,real,0
Mar 26,Rio de Janeiro,368,real,37
Mar 26,Sao Goncalo,3,real,0
Mar 26,Volta Redonda,7,real,1
Mar 25,Barra Mansa,1,real,0
Mar 25,Duque de Caxias,2,real,1
Mar 25,Estado RJ,370,real,65
Mar 25,Niteroi,19,real,7
Mar 25,Petropolis,3,real,0
Mar 25,Rio de Janeiro,331,real,55
Mar 25,Sao Goncalo,3,real,0
Mar 25,Volta Redonda,6,real,2
Mar 24,Barra Mansa,1,real,0
Mar 24,Duque de Caxias,1,real,1
Mar 24,Estado RJ,305,real,72
Mar 24,Niteroi,12,real,2
Mar 24,Petropolis,3,real,0
Mar 24,Rio de Janeiro,276,real,64
Mar 24,Sao Goncalo,3,real,0
Mar 24,Volta Redonda,4,real,4
Mar 23,Barra Mansa,1,real,0
Mar 23,Estado RJ,233,real,47
Mar 23,Niteroi,10,real,0
Mar 23,Petropolis,3,real,0
Mar 23,Rio de Janeiro,212,real,44
Mar 23,Sao Goncalo,3,real,3
Mar 22,Barra Mansa,1,real,0
Mar 22,Estado RJ,186,real,67
Mar 22,Niteroi,10,real,0
Mar 22,Petropolis,3,real,0
Mar 22,Rio de Janeiro,168,real,69
Mar 21,Barra Mansa,1,real,0
Mar 21,Estado RJ,119,real,53
Mar 21,Niteroi,10,real,3
Mar 21,Petropolis,3,real,3
Mar 21,Rio de Janeiro,99,real,43
Mar 19,Barra Mansa,1,real,0
Mar 19,Estado RJ,66,real,3
Mar 19,Niteroi,7,real,1
Mar 19,Rio de Janeiro,56,real,1
Mar 18,Barra Mansa,1,real,0
Mar 18,Estado RJ,63,real,38
Mar 18,Niteroi,6,real,5
Mar 18,Rio de Janeiro,55,real,32
Mar 16,Barra Mansa,1,real,0
Mar 16,Estado RJ,25,real,1
Mar 16,Niteroi,1,real,0
Mar 16,Rio de Janeiro,23,real,1
Mar 15,Barra Mansa,1,real,0
Mar 15,Estado RJ,24,real,9
Mar 15,Niteroi,1,real,0
Mar 15,Rio de Janeiro,22,real,9
Mar 12,Barra Mansa,1,real,0
Mar 12,Estado RJ,15,real,12
Mar 12,Niteroi,1,real,1
Mar 12,Rio de Janeiro,13,real,11
Mar 08,Barra Mansa,1,real,0
Mar 08,Estado RJ,3,real,1
Mar 08,Rio de Janeiro,2,real,1
Mar 06,Barra Mansa,1,real,0
Mar 06,Estado RJ,2,real,1
Mar 06,Rio de Janeiro,1,real,1
Mar 05,Barra Mansa,1,real,1
Mar 05,Estado RJ,1,real,1
